,Title,Coefficient,dof,period,gamma,alpha,hbeta
0,TikTok_Install,13.41474229,0,0,0.346676527,2.081202767,11.32849246
1,TikTok_AEO,145.3553826,0,0,0.492346585,2.012540252,63.79227139
2,Google_UAC_Install,12.81058524,0,0,0.483031784,2.005705205,5.401212323
3,Google_UAC_AEO,252.5133697,0,0,0.099831463,2.000000167,22.1820876
4,Unity_Install,154.9104442,0,0,0.10017851,2.000727079,16.43260546
5,Unity_ROAS,267.3080104,0,0,0.099999499,2.000000238,25.41760107
6,IronSource_Install,130.1679985,0,0,0.290969567,2.548341872,9.400064349
7,Vungle_Roas,257.2823465,0,0,0.641844445,2.081349271,30.58792743
8,Vungle_Other,25.64061553,0,0,0.754985873,2.018506283,19.27784743
9,Applovin_AEO,566.8093774,0,0,0.455574007,2.004724395,18.30457991
10,Applovin_Install,123.435139,0,0,0.183791083,2,4.582457224
11,Applovin_Roas,901.2494675,0,0,0.611956977,2.003816095,27.06573575
12,Chart_Boost_Roas,15.3485772,0,0,0.244918071,2.011844386,8.876966104
13,AppleSearch_Install,13.54680275,0,0,0.445997581,2.321225312,0.340015527
14,AppleSearch_Roas,142.5177872,0,0,0.094726283,2.014173668,1.073582676
15,Liftoff_Other,505.1684091,0,0,0.100192715,2.00037251,118.9096182
16,Moloco_Roas,430.0234294,0,0,0.528127728,2.01539207,2402.181868
17,Appier_Install,124.5082702,0,0,0.495500378,2.103721466,3773.603872
18,Kyawake_Other,34.88440212,0,0,0.564647993,2.05310467,157.0438465
19,Mobupps_AEO,18.29453924,0,0,0.632473629,2.009454484,647.0579025
20,Facebook_AEO,325.5588447,0,0,0.099957603,2.000018036,121.1658061
21,Facebook_INSTALL,82.09053582,0,0,0.099999656,2.000000209,8.661188384
22,Facebook_ROAS,1651.378163,0,0,0.096895167,2.002341485,193.4310569
23,New_content,0.000700384,-1,-1,-1,-1,-1
24,Bug_fix,0.001044864,-1,-1,-1,-1,-1
25,In_game_event,0.000168692,-1,-1,-1,-1,-1
